ECG,RSP
-0.116577,6.5567
-0.092468,6.5659
-0.065308,6.5738
-0.054169,6.5848
-0.024719,6.5921
-0.009308,6.6006
-0.006561,6.6113
0.006714,6.6211
0.015106,6.6302
0.022888,6.6409
0.030212,6.6495
0.034943,6.6592
0.041199,6.6693
0.056305,6.6797
0.063934,6.6861
0.076447,6.6937
0.090942,6.7035
0.106659,6.7133
0.117798,6.7209
0.122833,6.7279
0.122986,6.7377
0.114288,6.7429
0.077667,6.7526
0.010681,6.7596
-0.062866,6.7667
-0.122375,6.7737
-0.157776,6.781
-0.175323,6.7868
-0.177765,6.7963
-0.170288,6.8011
-0.156097,6.8103
-0.142365,6.8149
-0.123901,6.821
-0.109406,6.8301
-0.094452,6.8344
-0.07843,6.8402
-0.061798,6.8497
-0.054321,6.8542
-0.045624,6.8597
-0.036011,6.8643
-0.03067,6.8643
-0.021362,6.8652
-0.016327,6.8646
-0.013733,6.8643
-0.011444,6.8646
-0.004883,6.8646
-0.001831,6.8646
-0.001373,6.8646
0.000305,6.8646
0.003357,6.8649
0.005798,6.8643
0.008087,6.8637
0.010376,6.9131
0.003204,6.918
0.00351,6.9235
0.005951,6.9281
0.005341,6.9327
0.005646,6.9373
0.008087,6.9424
0.015869,6.9467
0.026855,6.9528
0.053101,6.9568
0.052032,6.962
0.053101,6.9666
0.055847,6.9717
0.012054,6.9763
-0.013885,6.9815
-0.011444,6.9867
-0.001373,6.9861
-0.011292,6.9919
-0.016327,6.9958
-0.013428,7.0013
-0.011139,7.0032
-0.004272,7.0062
-0.001678,7.0105
-0.001678,7.0151
0.000458,7.0166
0.000763,7.0209
-0.04303,7.0206
-0.061646,7.0255
0.063171,7.03
0.485382,7.0303
1.040344,7.0361
0.547791,7.0355
-0.061798,7.0407
-0.403137,7.0401
-0.394745,7.0447
-0.241089,7.0447
-0.133057,7.0499
-0.086365,7.0502
-0.062561,7.0547
-0.046692,7.0547
-0.035706,7.059
-0.028992,7.0593
-0.016479,7.0645
-0.006409,7.0645
-0.001678,7.0645
0.003357,7.0691
0.013123,7.0694
0.026398,7.0697
0.037689,7.0691
0.049286,7.0691
0.06424,7.0697
0.083618,7.0688
0.106812,7.0691
0.129395,7.0691
0.144501,7.0691
0.152283,7.0648
0.149841,7.0645
0.139008,7.0599
0.102386,7.0541
0.032196,7.0551
-0.048828,7.0502
-0.11261,7.045
-0.152283,7.0404
-0.176544,7.0319
-0.185394,7.0258
-0.180359,7.0206
-0.16861,7.0111
-0.153198,7.0062
-0.136108,6.9971
-0.119019,6.9867
-0.103149,6.9772
-0.089874,6.9702
-0.073853,6.9601
-0.063019,6.9504
-0.055389,6.9385
-0.048065,6.9275
-0.038605,6.9186
-0.035706,6.9086
-0.033112,6.8945
-0.026245,6.8848
-0.02121,6.8744
-0.021362,6.8604
-0.023956,6.8506
-0.02121,6.835
-0.021057,6.8253
-0.016327,6.8106
-0.018768,6.7969
-0.010986,6.7871
-0.011597,6.7712
-0.011139,6.7575
-0.009308,6.7438
-0.006561,6.7334
-0.003815,6.7188
-0.001221,6.7032
0.000763,6.6888
0.000916,6.6736
0.000916,6.6623
0.000916,6.6504
0.001068,6.6351
0.010681,6.6211
0.021973,6.6061
0.053864,6.5918
0.056763,6.5811
0.057068,6.5671
0.050812,6.553
0.007019,6.5427
-0.018311,6.5283
-0.019226,6.5143
-0.006561,6.5039
-0.013733,6.4893
-0.023651,6.4789
-0.021515,6.4642
-0.012665,6.4548
-0.006561,6.4404
-0.00412,6.4301
0.000763,6.416
0.00351,6.4059
0.001068,6.3959
-0.046387,6.3837
-0.046997,6.3715
0.122833,6.3617
0.665436,6.3525
1.094208,6.3422
0.381165,6.3327
-0.254669,6.3229
-0.463562,6.3135
-0.35614,6.3034
-0.180969,6.2939
-0.105896,6.2833
-0.038757,6.2735
-0.029297,6.264
-0.063477,6.2543
-0.080109,6.2448
-0.049591,6.235
-0.012665,6.2256
-0.006561,6.2161
0.064545,6.2079
0.049896,6.2009
0.057831,6.1908
0.013275,6.1816
0.032349,6.1719
0.079498,6.1621
0.106964,6.152
0.114136,6.1426
0.16449,6.1328
0.133057,6.1185
0.110474,6.1081
0.13855,6.0931
0.167847,6.0815
0.136566,6.069
0.110931,6.0547
0.057068,6.0397
